<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.24	08:00:00	1.09801	1.09809	1.09723	1.09782	1333	0	6
2023.04.24	09:00:00	1.09780	1.09862	1.09729	1.09745	2586	0	6
2023.04.24	10:00:00	1.09746	1.09879	1.09655	1.09866	2925	0	6
2023.04.24	11:00:00	1.09866	1.10091	1.09836	1.10082	3407	0	6
2023.04.24	12:00:00	1.10082	1.10202	1.09990	1.10001	3068	0	6
2023.04.24	13:00:00	1.10000	1.10168	1.09987	1.10161	2355	0	6
2023.04.24	14:00:00	1.10161	1.10172	1.09986	1.10020	2181	0	6
2023.04.24	15:00:00	1.10020	1.10247	1.09990	1.10225	2821	0	6
2023.04.24	16:00:00	1.10227	1.10311	1.10127	1.10236	3945	0	6
2023.04.24	17:00:00	1.10235	1.10367	1.10203	1.10291	4284	0	6
2023.04.24	18:00:00	1.10291	1.10319	1.10202	1.10256	3118	0	6
2023.04.24	19:00:00	1.10256	1.10338	1.10245	1.10336	1956	0	6
2023.04.24	20:00:00	1.10337	1.10479	1.10333	1.10438	1760	0	6
2023.04.24	21:00:00	1.10437	1.10498	1.10417	1.10462	1419	0	6
2023.04.24	22:00:00	1.10462	1.10466	1.10416	1.10429	1462	0	6
2023.04.24	23:00:00	1.10429	1.10461	1.10429	1.10459	693	0	6
2023.04.25	00:00:00	1.10454	1.10474	1.10412	1.10445	711	0	7
2023.04.25	01:00:00	1.10444	1.10518	1.10444	1.10508	578	0	6
2023.04.25	02:00:00	1.10509	1.10568	1.10491	1.10567	864	0	6
2023.04.25	03:00:00	1.10568	1.10664	1.10532	1.10589	1658	0	6
2023.04.25	04:00:00	1.10589	1.10668	1.10560	1.10566	1737	0	6
2023.04.25	05:00:00	1.10565	1.10567	1.10516	1.10536	1586	0	6
2023.04.25	06:00:00	1.10536	1.10566	1.10512	1.10526	1249	0	6
2023.04.25	07:00:00	1.10526	1.10585	1.10504	1.10509	1264	0	6
2023.04.25	08:00:00	1.10509	1.10539	1.10448	1.10488	1686	0	6
2023.04.25	09:00:00	1.10485	1.10562	1.10460	1.10513	3019	0	6
2023.04.25	10:00:00	1.10513	1.10513	1.10243	1.10325	4467	0	6
2023.04.25	11:00:00	1.10325	1.10408	1.10252	1.10394	2631	0	6
2023.04.25	12:00:00	1.10395	1.10438	1.10297	1.10302	2425	0	6
2023.04.25	13:00:00	1.10302	1.10356	1.10192	1.10203	2186	0	6
2023.04.25	14:00:00	1.10203	1.10235	1.10092	1.10166	2795	0	6
