<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.08	23:00:00	1.27322	1.27329	1.27227	1.27234	1771	0	8
2020.06.09	00:00:00	1.27231	1.27244	1.27215	1.27217	409	0	8
2020.06.09	01:00:00	1.27217	1.27356	1.27213	1.27338	832	0	8
2020.06.09	02:00:00	1.27341	1.27404	1.27325	1.27338	1320	0	8
2020.06.09	03:00:00	1.27338	1.27553	1.27307	1.27345	3440	0	8
2020.06.09	04:00:00	1.27345	1.27349	1.27136	1.27265	3888	0	8
2020.06.09	05:00:00	1.27265	1.27278	1.27101	1.27173	2272	0	8
2020.06.09	06:00:00	1.27173	1.27210	1.27097	1.27124	1987	0	8
2020.06.09	07:00:00	1.27125	1.27129	1.26976	1.27009	2662	0	8
2020.06.09	08:00:00	1.27009	1.27162	1.27009	1.27142	2244	0	8
2020.06.09	09:00:00	1.27144	1.27200	1.26975	1.26989	4120	0	8
2020.06.09	10:00:00	1.26989	1.27071	1.26588	1.26698	6024	0	8
2020.06.09	11:00:00	1.26701	1.26780	1.26181	1.26409	6799	0	8
2020.06.09	12:00:00	1.26409	1.26519	1.26305	1.26430	5673	0	8
2020.06.09	13:00:00	1.26430	1.26542	1.26334	1.26428	5640	0	8
2020.06.09	14:00:00	1.26428	1.26778	1.26369	1.26690	4560	0	8
2020.06.09	15:00:00	1.26695	1.26773	1.26491	1.26607	4687	0	8
2020.06.09	16:00:00	1.26607	1.27084	1.26587	1.27034	6599	0	8
2020.06.09	17:00:00	1.27040	1.27271	1.26941	1.27207	7276	0	8
2020.06.09	18:00:00	1.27207	1.27434	1.27179	1.27334	5592	0	8
2020.06.09	19:00:00	1.27334	1.27454	1.27288	1.27436	3719	0	8
2020.06.09	20:00:00	1.27437	1.27437	1.27285	1.27407	3661	0	8
2020.06.09	21:00:00	1.27407	1.27450	1.27361	1.27393	2809	0	8
2020.06.09	22:00:00	1.27393	1.27446	1.27251	1.27264	2412	0	8
2020.06.09	23:00:00	1.27263	1.27331	1.27236	1.27264	1677	0	8
2020.06.10	00:00:00	1.27253	1.27329	1.27243	1.27278	755	0	8
2020.06.10	01:00:00	1.27276	1.27307	1.27239	1.27275	825	0	8
2020.06.10	02:00:00	1.27275	1.27281	1.27085	1.27087	1289	0	8
2020.06.10	03:00:00	1.27087	1.27231	1.27058	1.27219	2753	0	8
2020.06.10	04:00:00	1.27217	1.27398	1.27198	1.27285	2584	0	8
2020.06.10	05:00:00	1.27284	1.27371	1.27254	1.27365	2407	0	8
2020.06.10	06:00:00	1.27366	1.27464	1.27335	1.27387	2007	0	8
2020.06.10	07:00:00	1.27387	1.27449	1.27349	1.27416	2167	0	8
2020.06.10	08:00:00	1.27416	1.27779	1.27396	1.27667	3684	0	8
2020.06.10	09:00:00	1.27671	1.27781	1.27541	1.27579	4358	0	8
2020.06.10	10:00:00	1.27578	1.27859	1.27476	1.27629	5924	0	8
2020.06.10	11:00:00	1.27630	1.27792	1.27553	1.27640	4943	0	8
2020.06.10	12:00:00	1.27639	1.27656	1.27437	1.27519	4288	0	8
2020.06.10	13:00:00	1.27519	1.27710	1.27275	1.27688	4723	0	8
2020.06.10	14:00:00	1.27688	1.28023	1.27660	1.27908	5345	0	8
2020.06.10	15:00:00	1.27905	1.27962	1.27705	1.27871	5269	0	8
2020.06.10	16:00:00	1.27870	1.27995	1.27416	1.27515	6288	0	8
2020.06.10	17:00:00	1.27515	1.27620	1.27449	1.27539	7035	0	8
2020.06.10	18:00:00	1.27541	1.27647	1.27451	1.27566	6331	0	8
2020.06.10	19:00:00	1.27566	1.27589	1.27465	1.27549	4053	0	8
2020.06.10	20:00:00	1.27549	1.27711	1.27505	1.27702	3566	0	8
2020.06.10	21:00:00	1.27704	1.28125	1.27214	1.27675	13245	0	8
2020.06.10	22:00:00	1.27675	1.27868	1.27399	1.27600	9222	0	8
2020.06.10	23:00:00	1.27600	1.27606	1.27326	1.27454	3324	0	8
2020.06.11	00:00:00	1.27460	1.27484	1.27430	1.27476	331	0	8
2020.06.11	01:00:00	1.27476	1.27541	1.27365	1.27427	1202	0	8
2020.06.11	02:00:00	1.27426	1.27521	1.27076	1.27110	2718	0	8
2020.06.11	03:00:00	1.27116	1.27422	1.27099	1.27390	3652	0	8
2020.06.11	04:00:00	1.27390	1.27500	1.27322	1.27398	3770	0	8
2020.06.11	05:00:00	1.27396	1.27442	1.27301	1.27318	2735	0	8
2020.06.11	06:00:00	1.27319	1.27327	1.26829	1.26868	4227	0	8
2020.06.11	07:00:00	1.26868	1.26954	1.26705	1.26820	4730	0	8
2020.06.11	08:00:00	1.26821	1.26860	1.26551	1.26702	4786	0	8
2020.06.11	09:00:00	1.26707	1.26885	1.26624	1.26797	4835	0	8
2020.06.11	10:00:00	1.26797	1.26949	1.26505	1.26800	6537	0	8
2020.06.11	11:00:00	1.26800	1.27003	1.26691	1.26975	6731	0	8
2020.06.11	12:00:00	1.26976	1.27190	1.26905	1.26926	5859	0	8
